5,23,26,27,37
5,23,26,27,37
2,12,15,23,40
22,23,25,32,41
5,10,12,13,17
9,32,34,38,40
1,3,4,11,29
5,9,11,16,42
18,21,26,28,36
1,2,20,28,36
5,19,25,34,39
12,13,21,27,28
15,17,26,31,38
8,20,29,37,42
3,4,6,34,38
3,28,31,32,40
9,21,29,32,35
28,36,37,38,41
13,15,18,23,24
3,20,26,34,42
7,9,10,11,28
19,25,29,38,39
10,15,21,37,42
3,26,34,35,42
5,6,32,41,42
3,12,22,32,41
10,13,19,34,41
4,10,14,30,32
11,25,31,34,41
1,9,13,31,36
3,10,15,16,20
11,20,23,26,36
5,12,25,28,38
14,25,27,28,29
4,12,14,27,41
15,24,26,31,40
18,30,31,35,39
6,9,34,37,38
1,15,23,30,42
4,5,16,26,35
7,19,28,33,35
7,11,15,28,41
12,24,27,28,39
5,6,8,17,20
15,24,32,34,35
11,13,19,32,41
2,17,31,32,33
21,22,34,40,41
13,18,27,30,41
10,19,25,28,30
2,8,17,20,31
23,26,27,35,40
1,4,7,10,13
14,24,25,27,32
6,16,29,37,38
2,10,25,28,42
9,18,22,30,31
15,19,20,27,36
3,5,10,22,39
13,20,23,33,38
9,12,13,17,27
7,19,20,23,39
5,6,19,26,41
9,11,24,28,39
3,7,15,36,37
3,4,8,9,24
1,5,20,21,37
1,8,12,19,20
2,3,15,21,26
5,11,26,31,35
15,24,26,28,37
3,19,28,33,37
9,16,20,27,31
3,11,17,35,40
12,13,17,29,32
5,25,32,36,38
7,17,24,26,39
2,19,25,34,41
5,6,10,35,37
24,31,35,39,42
12,16,19,32,42
11,22,36,39,41
7,11,22,32,36
12,27,28,36,41
4,6,7,11,37
5,24,26,28,41
2,14,26,38,41
6,23,29,35,40
17,21,23,24,26
3,5,17,25,39
10,16,20,30,38
1,9,10,17,40
5,22,24,28,29
2,12,18,23,29
1,10,17,36,40
1,3,9,30,32
1,16,20,25,39
5,7,12,21,40
10,14,25,26,41
6,9,13,23,37
17,18,30,31,40
3,4,6,12,18
1,10,29,36,40
4,12,17,22,24
8,14,22,27,30
3,13,18,36,38
14,15,30,38,40
6,23,26,38,42
2,5,10,34,39
5,10,17,26,40
2,14,19,26,30
10,14,23,31,32
1,23,35,37,42
9,12,20,27,41
11,15,22,32,33
6,9,24,26,35
1,14,19,20,29
12,26,34,41,42
2,7,20,21,32
16,19,28,30,33
3,13,22,24,32
2,10,18,29,36
21,26,28,34,42
3,13,30,36,40
7,11,16,24,37
10,11,21,22,38
6,20,26,34,38
3,5,24,27,30
7,10,17,18,28
2,7,23,34,40
6,10,25,26,35
5,7,25,27,29
15,20,26,40,41
4,13,31,34,35
15,24,29,30,37
1,5,8,30,36
2,5,7,9,35
5,20,23,34,40
5,13,18,33,36
9,30,34,35,42
19,31,32,34,40
18,28,31,34,36
2,6,16,20,30
1,15,17,26,31
11,16,21,35,42
11,15,16,21,41
3,7,25,31,33
14,25,33,37,40
6,12,17,22,29
15,17,21,23,32
7,9,11,17,26
6,9,16,24,25
5,6,25,28,37
12,16,36,41,42
5,9,16,23,41
21,23,33,38,42
5,9,15,35,37
3,6,20,30,34
2,15,26,30,41
1,3,15,25,26
15,26,27,28,29
21,27,29,33,37
5,14,27,32,37
9,13,31,38,40
6,13,22,28,31
2,4,30,35,36
4,20,23,36,39
4,6,14,33,37
1,7,18,29,40
7,11,23,32,38
4,13,18,21,32
8,12,16,23,40
27,28,35,38,39
14,17,23,35,40
8,13,15,26,39
1,3,4,10,37
11,16,20,23,26
9,18,19,26,42
9,12,13,20,32
17,18,29,30,33
11,14,17,24,29
21,24,29,30,41
5,25,39,40,42
3,10,11,13,21
19,23,24,28,39
9,13,15,19,29
6,8,12,24,25
3,17,20,32,37
9,11,25,31,34
5,20,28,33,37
14,15,22,30,38
5,6,13,15,34
9,18,22,29,33
6,10,31,32,42
5,8,10,28,39
6,14,24,25,31
18,19,22,34,39
4,6,12,16,39
6,10,13,22,29
4,6,10,32,38
3,9,21,34,37
8,11,12,14,30
16,18,28,37,39
3,9,12,16,19
3,12,23,38,39
8,17,26,33,41
20,28,30,37,40
13,18,34,37,41
9,11,15,16,21
5,8,29,39,40
6,15,30,33,38
2,27,33,39,41
5,12,21,26,36
1,8,17,27,38
18,32,35,38,40
